bit_position,zeros_count,ones_count,majority,stability
1006,40,0,0,1.0
1007,35,5,0,0.875
1008,40,0,0,1.0
1009,3,37,1,0.925
1010,3,37,1,0.925
1011,21,19,0,0.525
1012,38,2,0,0.95
1013,25,15,0,0.625
1014,36,4,0,0.9
1015,26,14,0,0.65
1016,40,0,0,1.0
1017,1,39,1,0.975
1018,1,39,1,0.975
1019,32,8,0,0.8
1020,1,39,1,0.975
1021,40,0,0,1.0
1022,1,39,1,0.975
1023,0,40,1,1.0
1024,40,0,0,1.0
1025,0,40,1,1.0
1026,40,0,0,1.0
1027,1,39,1,0.975
1028,0,40,1,1.0
1029,0,40,1,1.0
1030,0,40,1,1.0
1031,0,40,1,1.0
1032,30,10,0,0.75
1033,0,40,1,1.0
1034,0,40,1,1.0
1035,0,40,1,1.0
1036,40,0,0,1.0
1037,40,0,0,1.0
1038,0,40,1,1.0
1039,40,0,0,1.0
1040,0,40,1,1.0
1041,1,39,1,0.975
1042,40,0,0,1.0
1043,40,0,0,1.0
1044,40,0,0,1.0
1045,40,0,0,1.0
1046,40,0,0,1.0
1047,40,0,0,1.0
1048,0,40,1,1.0
1049,39,1,0,0.975
1050,40,0,0,1.0
1051,40,0,0,1.0
1052,0,40,1,1.0
1053,10,30,1,0.75
1054,40,0,0,1.0
1055,40,0,0,1.0
1056,27,13,0,0.675
1057,40,0,0,1.0
1058,0,40,1,1.0
1059,0,40,1,1.0
1060,0,40,1,1.0
1061,0,40,1,1.0
1062,40,0,0,1.0
1063,0,40,1,1.0
1064,39,1,0,0.975
1065,1,39,1,0.975
1066,10,30,1,0.75
1067,0,40,1,1.0
1068,0,40,1,1.0
1069,26,14,0,0.65
1070,40,0,0,1.0
1071,0,40,1,1.0
1072,40,0,0,1.0
1073,1,39,1,0.975
1074,40,0,0,1.0
1075,0,40,1,1.0
1076,31,9,0,0.775
1077,0,40,1,1.0
1078,38,2,0,0.95
1079,0,40,1,1.0
1080,35,5,0,0.875
1081,0,40,1,1.0
1082,0,40,1,1.0
1083,2,38,1,0.95
1084,1,39,1,0.975
1085,0,40,1,1.0
1086,2,38,1,0.95
1087,1,39,1,0.975
1088,0,40,1,1.0
1089,40,0,0,1.0
1090,0,40,1,1.0
1091,40,0,0,1.0
1092,0,40,1,1.0
1093,0,40,1,1.0
1094,5,35,1,0.875
1095,38,2,0,0.95
1096,40,0,0,1.0
1097,40,0,0,1.0
1098,40,0,0,1.0
1099,40,0,0,1.0
1100,28,12,0,0.7
1101,34,6,0,0.85
1102,0,40,1,1.0
1103,0,40,1,1.0
1104,37,3,0,0.925
1105,40,0,0,1.0
1106,0,40,1,1.0
1107,37,3,0,0.925
1108,9,31,1,0.775
1109,27,13,0,0.675
1110,0,40,1,1.0
1111,0,40,1,1.0
1112,1,39,1,0.975
1113,40,0,0,1.0
1114,40,0,0,1.0
1115,40,0,0,1.0
1116,33,7,0,0.825
1117,40,0,0,1.0
1118,0,40,1,1.0
1119,40,0,0,1.0
1120,40,0,0,1.0
1121,6,34,1,0.85
1122,0,40,1,1.0
1123,39,1,0,0.975
1124,38,2,0,0.95
1125,40,0,0,1.0
1126,0,40,1,1.0
1127,40,0,0,1.0
1128,40,0,0,1.0
1129,0,40,1,1.0
1130,39,1,0,0.975
1131,40,0,0,1.0
1132,40,0,0,1.0
1133,40,0,0,1.0
1134,39,1,0,0.975
1135,25,15,0,0.625
1136,40,0,0,1.0
1137,1,39,1,0.975
1138,0,40,1,1.0
1139,39,1,0,0.975
1140,40,0,0,1.0
1141,39,1,0,0.975
1142,40,0,0,1.0
1143,38,2,0,0.95
1144,0,40,1,1.0
1145,23,17,0,0.575
1146,31,9,0,0.775
1147,36,4,0,0.9
